"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 19:04:50 GMT 2024","Thu Feb 22 19:04:51 GMT 2024","1063","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Thu Feb 22 19:04:48 GMT 2024","Thu Feb 22 19:04:48 GMT 2024","0","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
