"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 22 18:41:18 GMT 2024","Thu Feb 22 18:41:18 GMT 2024","26","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Thu Feb 22 18:41:20 GMT 2024","Thu Feb 22 18:41:21 GMT 2024","1063","test","test_hootel","TestHootel","","","test_hotel_list",""
