"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 19:02:11 GMT 2024","Thu Feb 22 19:02:12 GMT 2024","1066","test","test_hootel","TestHootel","","","test_hotel_list",""
"broken","Thu Feb 22 19:02:08 GMT 2024","Thu Feb 22 19:02:08 GMT 2024","0","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
