"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 19:09:05 GMT 2024","Thu Feb 22 19:09:07 GMT 2024","2071","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Thu Feb 22 19:09:09 GMT 2024","Thu Feb 22 19:09:10 GMT 2024","1067","test","test_hootel","TestHootel","","","test_hotel_list",""
